Company_Name,ship_name,built_year,gt,dwt,length,width,PC1,PC2,cluster
PRELUDE,Offshore Support Vessel,2017,499167,394330,489,74,10.025177547496341,2.1459658206280356,2
MSC LORETO,Container Ship,2023,236184,240000,399,60,3.6388081549586975,1.9954885539540073,2
MSC FEBE,Container Ship,2019,232618,228149,400,62,3.6945763181423374,1.5123475082260878,2
MSC ARINA,Container Ship,2019,228741,228111,400,61,3.5665085139856516,1.515806793148401,2
EVER GOVERN,Container Ship,2019,219688,198937,400,59,3.145455964163128,1.6368698672197832,2
MAASTRICHT MAERSK,Container Ship,2019,214286,190326,399,59,3.021591047573233,1.6420321096608008,2
ONE TREASURE,Container Ship,2018,210691,189766,400,58,2.904503874512037,1.535064882620658,2
ORE SHENZHEN,Bulk Carrier,2018,203953,398997,362,65,3.9087872727113284,0.22074971963841064,2
SAHAM MAX,Bulk Carrier,2013,201705,400694,360,65,3.839270565368722,-0.4177346160583145,2
BARZAN,Container Ship,2015,195636,199744,400,59,2.8424545643646004,1.047418815006061,2
MARSTAL MAERSK,Container Ship,2014,194849,213971,399,59,2.886949508448561,0.856665674087881,2
MSC DIANA,Container Ship,2016,194250,202036,400,59,2.8418972093220014,1.1535724718742215,2
COSTA TOSCANA,Passenger (Cruise) Ship,2021,186364,13000,337,42,-0.5032791522131256,2.356133092243776,1
MSC NEW YORK,Container Ship,2014,176490,186766,399,54,2.1203777057240187,0.989275266490473,2
MSC MERAVIGLIA,Passenger (Cruise) Ship,2017,171598,12200,316,43,-0.9289080595936455,1.632581491658902,1
ATHERINA,Crude Oil Tanker,2011,169919,319471,340,60,2.3323868670870227,-0.5144788442580484,2
AL GHUWAIRIYA,LNG Tanker,2008,168189,154940,345,55,1.121640792561823,-0.07394930438605898,2
HONG KONG SPIRIT,Crude Oil Tanker,2013,166231,318473,333,60,2.1891411881326945,-0.3364100052206759,2
NEW PROSPERITY,Crude Oil Tanker,2015,165209,318607,333,60,2.186271752206666,-0.09849230754667634,2
NEW WISDOM,Crude Oil Tanker,2011,164680,317960,333,60,2.1590815773422416,-0.5835368135890774,2
DAN,Crude Oil Tanker,2009,164241,319999,333,60,2.15550484384837,-0.8364981040303835,2
ATBAN,Crude Oil Tanker,1996,163882,300361,340,56,1.771285071052838,-2.2036882641636333,2
SAN RAMON VOYAGER,Crude Oil Tanker,2019,163214,318608,336,60,2.2236665190308917,0.40150756421485495,2
NISALAH,Crude Oil Tanker,2010,162863,319287,333,60,2.1396331734564455,-0.7179658375750175,2
DHT OPAL,Crude Oil Tanker,2012,162557,320105,333,60,2.148894953016388,-0.4798630034786026,2
JAHAM,Crude Oil Tanker,2008,162252,319430,332,60,2.109620842205155,-0.971475848746139,2
MARAN THETIS,Crude Oil Tanker,2012,162018,320105,333,60,2.142404169661811,-0.4821184316759451,2
GENT,Crude Oil Tanker,2005,161632,319180,333,60,2.1023843804167104,-1.3295394580884226,2
SEAWAYS DIAMOND HEAD,Crude Oil Tanker,2016,161319,299989,333,60,2.0482913245962404,0.08311444991857965,2
BIG STAR,Crude Oil Tanker,2004,161175,319247,333,60,2.09284960729013,-1.4530995535873135,2
OLYMPIC LIFE,Crude Oil Tanker,2019,160874,318676,333,60,2.151923161686083,0.3685742753193306,2
STELLAR RIO,Bulk Carrier,1994,160666,298450,332,58,1.7592711401262873,-2.5520554692958735,2
AWTAD,Crude Oil Tanker,2011,160493,309988,333,60,2.067763879915481,-0.5682957269506328,2
SPLENDOR,Crude Oil Tanker,1993,160299,306474,331,58,1.7770021717937299,-2.7155595007957,2
PIONEER,Crude Oil Tanker,1999,160216,306397,334,58,1.8457719524951146,-1.9644934747244767,2
BASRA,Crude Oil Tanker,2021,160087,298981,339,60,2.137986586530674,0.7346882583487012,2
NEW PEARL,Crude Oil Tanker,2011,160043,301866,333,60,2.020678637596029,-0.5368008489959776,2
SAKE,Crude Oil Tanker,2005,159938,300390,333,60,1.9855912405043863,-1.2594092167056208,2
NEW PRIME,Crude Oil Tanker,2018,159843,311003,333,60,2.095769581777627,0.2744203298514033,2
PLATA GLORY,Crude Oil Tanker,1999,159423,300133,333,60,1.9518200370221779,-1.9887427762256775,2
DHT BAUHINIA,Crude Oil Tanker,2007,159158,301019,332,58,1.811167676850047,-0.9910812334557055,2
TAKAMATSU MARU,Crude Oil Tanker,2012,158424,311087,333,60,2.0528615116646924,-0.4600973503802778,2
LEXIE,Crude Oil Tanker,2001,157831,298911,332,58,1.7581224381281508,-1.7162057757345623,2
MAXIM,Crude Oil Tanker,2011,157351,296887,330,60,1.9188050670220465,-0.5504660950556046,2
NEW PIONEER,Crude Oil Tanker,2010,157052,297058,330,60,1.9117064971261137,-0.6737924394067365,2
NEW PROSPECT,Crude Oil Tanker,2009,156921,297934,330,60,1.9102477098678066,-0.7993130366129657,2
NASHA,Crude Oil Tanker,1996,156809,298732,332,58,1.7230211162504994,-2.326608953763163,2
GAZA MARINE TERMINAL,FSO,2016,156510,265869,338,51,1.1578669024273527,0.41705007891692675,2
STELLAR UNICORN,Bulk Carrier,1993,156352,279022,330,56,1.411633624350721,-2.587827932758736,2
SEAWAYS ENTERPRISE,Crude Oil Tanker,2023,156186,300000,336,60,2.061074256215177,0.9340597241659985,2
YIANNIS LATSIS,Crude Oil Tanker,2022,154792,299999,330,60,1.9520804547244137,0.7611338655201594,2
ALICE,Crude Oil Tanker,2016,154379,299320,333,60,1.9612859733225778,0.05682354181739435,2
SEAPASSION,Crude Oil Tanker,2017,154182,299271,333,60,1.963037442881983,0.17757302313710485,2
BING N,Bulk Carrier,1992,154030,322941,339,55,1.6551576122406852,-2.811291859567352,2
MAERSK HANOI,Container Ship,2018,153773,178257,353,54,1.1473254897770109,1.0641213291284346,2
